Ending,Employee,Label,Hours_1,Hours_2,Hours_3,Hours_T
03/29/2026,E8022,"Atkinson, Jeremy",40.0,9.0,0.0,0
03/29/2026,E8031,"Wiseman, Jeremy",40.0,0.0,0.0,0
03/29/2026,E8041,"Renwick, Richard",0.0,0.0,0.0,0
03/29/2026,E8174,"Jeremias, Jerry",33.75,0.0,0.0,0
03/29/2026,E8190,"Trif, Daniel",40.0,32.0,12.0,0
03/29/2026,E8395,"Ebbinghaus, Zachary",33.5,0.0,0.0,0
03/29/2026,E8611,"Zorzi, Jarrett",40.0,5.5,0.0,0
03/29/2026,E8650,"Moldovan, Florin",40.0,20.75,12.0,0
03/29/2026,E8668,"Saleh, Yousof",34.0,0.0,0.0,0
